cell_id,road_density_primary
r0071_c0052,0.0
r0071_c0053,0.0
r0071_c0054,0.0
r0071_c0055,3.68
r0071_c0056,13.77
r0072_c0035,0.0
r0072_c0036,10.25
r0072_c0037,6.83
r0072_c0038,0.0
r0072_c0039,5.82
r0072_c0040,21.58
r0072_c0041,10.49
r0072_c0042,14.13
r0072_c0049,0.0
r0072_c0050,0.0
r0072_c0051,0.0
r0072_c0052,0.0
r0072_c0053,0.0
r0072_c0054,0.0
r0072_c0055,0.0
r0072_c0056,0.0
r0072_c0058,0.0
r0073_c0036,0.0
r0073_c0037,11.2
r0073_c0038,1.0
r0073_c0039,0.0
r0073_c0040,12.18
r0073_c0041,15.01
r0073_c0042,15.86
r0073_c0043,14.41
r0073_c0050,0.0
r0073_c0051,0.0
r0073_c0052,0.0
r0073_c0053,0.0
r0073_c0054,0.0
r0073_c0055,0.0
r0073_c0057,0.0
r0073_c0059,0.0
r0074_c0036,18.36
r0074_c0037,16.52
r0074_c0038,22.08
r0074_c0039,13.52
r0074_c0040,2.38
r0074_c0041,5.0
r0074_c0042,10.93
r0074_c0043,10.57
r0074_c0050,0.0
r0074_c0051,0.0
r0074_c0052,0.0
r0074_c0053,0.0
r0074_c0054,0.0
r0074_c0055,0.0
r0074_c0056,0.0
r0074_c0057,0.0
r0074_c0058,0.0
r0075_c0036,4.8
r0075_c0037,11.77
r0075_c0038,18.32
r0075_c0039,6.61
r0075_c0040,0.0
r0075_c0041,7.05
r0075_c0042,1.77
r0075_c0043,24.91
r0075_c0044,14.23
r0075_c0051,0.0
r0075_c0052,0.0
r0075_c0054,0.0
r0075_c0055,0.0
